"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1997,1,1,12.4402119503217,0.926208612709818,11.5222314523235
1,1998,1,1,1.62566199958866,0.383270837059083,0.623068835357486
1,1999,1,1,4.67168155066839,0.318142873579389,1.48626219297746
1,2000,1,1,8.17569323204447,0.276279572637509,2.25877703216461
1,2001,1,1,7.2628147881853,0.309469682243366,2.24762098469212
1,2002,1,1,18.3091274392018,0.309092195453096,5.65920839701339
1,2003,1,1,25.6439642029019,0.257542975653304,6.60442284836219
1,2004,1,1,14.9147308650846,0.24814464714885,3.70101062783648
1,2005,1,1,17.4524896491662,0.37491355903808,6.54317500844413
1,2006,1,1,8.85543029901929,0.237211969385451,2.10061406098596
1,2007,1,1,5.20711254733027,0.270215114376872,1.4070405125501
1,2008,1,1,20.528424465332,0.265237196524253,5.44490175424454
1,2009,1,1,42.5995051839388,0.212474296664534,9.05129990221455
1,2010,1,1,16.3203897200505,0.21689593716752,3.53982622326952
1,2011,1,1,48.1316125518169,0.211286218444538,10.1695464037111
1,2012,1,1,10.3809420653309,0.232614230744816,2.41475485293343
1,2013,1,1,12.761325195075,0.220594395707971,2.81507681984046
1,2014,1,1,54.2139422694045,0.25106225435985,13.6110745638915
1,2015,1,1,5.85778212343202,0.275272640950007,1.61248715522688
1,2016,1,1,11.5489883292507,0.262457183349169,3.03111494742757
1,2017,1,1,13.9825840456308,0.217841037495069,3.04598061536219
2,1997,1,1,182.794421677145,0.924069950811276,168.914832247775
2,1998,1,1,137.513023576647,1.57521377310305,216.612408718979
2,1999,1,1,143.32314152468,1.66788822210841,239.04697970459
2,2000,1,1,322.675577926236,0.734274161433881,236.93233939698
2,2001,1,1,214.502444714504,0.663214456401251,142.261122268069
2,2002,1,1,156.947641961136,1.15077051692661,180.610719070028
2,2003,1,1,258.971475583877,0.528228946584619,136.796229743135
2,2004,1,1,246.566873301944,0.466755805202168,115.086519484229
2,2005,1,1,200.032690397792,0.82542200780689,165.111384935159
2,2006,1,1,237.436985023191,0.480490630817255,114.086246713141
2,2007,1,1,273.648910712571,0.491494764963431,134.497007053174
2,2008,1,1,281.896064180694,0.602353276250291,169.801017821303
2,2009,1,1,307.76351462905,0.619217746443222,190.572629966047
2,2010,1,1,289.503770616537,0.582555484640682,168.652009396822
2,2011,1,1,242.747229266894,0.632823237746804,153.616087578741
2,2012,1,1,255.738648207329,0.538352293367498,137.677487765119
2,2013,1,1,385.995362810491,0.93285356006325,360.077148365673
2,2014,1,1,225.33997642279,0.610180259402894,137.4980052675
2,2015,1,1,245.96469468179,0.547173850710415,134.585449127846
2,2016,1,1,204.765109718789,0.778212419370218,159.350751436866
2,2017,1,1,234.545379570789,0.61374474581332,143.950994366362
