"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1997,1,1,20.9908002585245,0.901163241307168,18.9161375986033
"Spawners",1998,1,1,1.78951372627072,0.555819386545215,0.994646421550034
"Spawners",1999,1,1,8.05878973637367,0.375170630143402,3.02342122358854
"Spawners",2000,1,1,12.3357236134812,0.395293618992741,4.87623283006724
"Spawners",2001,1,1,11.9136796733701,0.33481528014697,3.98888199742063
"Spawners",2002,1,1,12.526802309735,0.322665840610889,4.04197119743709
"Spawners",2003,1,1,37.5140621845632,0.2506765328534,9.40389504167315
"Spawners",2004,1,1,22.4479752786645,0.260918149568073,5.85708417125902
"Spawners",2005,1,1,47.8484269713801,0.551500380073313,26.3884256606262
"Spawners",2006,1,1,16.5934079865267,0.31846397361668,5.28440264323214
"Spawners",2007,1,1,7.39369037329411,0.380974900459903,2.81681045399693
"Spawners",2008,1,1,52.8384146860303,0.268773198219382,14.2015497040063
"Spawners",2009,1,1,66.9625070107856,0.228223396888188,15.2824108141505
"Spawners",2010,1,1,19.0105654342617,0.205493668322773,3.90655082797656
"Spawners",2011,1,1,92.1798126317489,0.245730140630119,22.6513583212575
"Spawners",2012,1,1,13.9888469506005,0.209085303127294,2.92486230506764
"Spawners",2013,1,1,20.7202875063219,0.197685905060663,4.09610878880439
"Spawners",2014,1,1,71.3806380538362,0.269704427175317,19.2516740977185
"Spawners",2015,1,1,7.94974999446923,0.375461244366629,2.98482302532698
"Spawners",2016,1,1,13.6098259651083,0.278581842171167,3.79145038898881
"Spawners",2017,1,1,21.9955487966054,0.210415968770502,4.6282147086766
"Juveniles",1997,1,1,234.401979306094,0.601152171257705,140.911258806963
"Juveniles",1998,1,1,153.380973259649,0.865295598343359,132.719881031195
"Juveniles",1999,1,1,155.297448182712,1.02390126853101,159.009254193906
"Juveniles",2000,1,1,625.627839142024,0.612734803528909,383.343951098903
"Juveniles",2001,1,1,267.291793941616,0.579604758663655,154.923595720305
"Juveniles",2002,1,1,148.512105649615,0.920800096007896,136.749961140501
"Juveniles",2003,1,1,340.430118486043,0.56675195824975,192.939436299159
"Juveniles",2004,1,1,327.185139757589,0.448588157849891,146.771379119717
"Juveniles",2005,1,1,426.36729952393,0.460762323584373,196.45398762904
"Juveniles",2006,1,1,222.592851841112,0.558087900897682,124.226377438835
"Juveniles",2007,1,1,422.090006429442,0.454233102184139,191.727253021368
"Juveniles",2008,1,1,469.375834230332,0.595423492698325,279.477398605613
"Juveniles",2009,1,1,355.638923836154,0.517744617674101,184.13013865158
"Juveniles",2010,1,1,361.719845287633,0.557688830269181,201.727117403609
"Juveniles",2011,1,1,322.111572870467,0.732141486013371,235.831245623488
"Juveniles",2012,1,1,318.358030196381,0.585613970532579,186.434910114233
"Juveniles",2013,1,1,777.671435374546,0.585952844274202,455.678789468515
"Juveniles",2014,1,1,272.000767817881,0.650926542004333,177.052519218217
"Juveniles",2015,1,1,308.314907477253,0.590726405444847,182.129757039098
"Juveniles",2016,1,1,243.84467114711,0.699344706624121,170.531480005231
"Juveniles",2017,1,1,286.620923205269,0.697743652430615,199.98792982028
