"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1997,1,1,0.90287368107363,0.848917143204595,0.766464946011643
"Spawners",1998,1,1,0.175272470433119,0.412618430447079,0.0723206516506957
"Spawners",1999,1,1,0.349031788878885,0.369699748506566,0.12903696456932
"Spawners",2000,1,1,0.707510276415276,0.342600587625491,0.242393436450947
"Spawners",2001,1,1,0.529057401956203,0.350356641112693,0.185358774305183
"Spawners",2002,1,1,1.10090505699756,0.378662631119254,0.416871605495188
"Spawners",2003,1,1,1.68978980216369,0.318946485454256,0.538952518556551
"Spawners",2004,1,1,0.991905121301923,0.31386403799342,0.311323346678175
"Spawners",2005,1,1,1.53469598221168,0.428759302115645,0.65801517829277
"Spawners",2006,1,1,0.747174733581237,0.315505898191161,0.235738035424289
"Spawners",2007,1,1,0.484008602433781,0.334778729974582,0.162035785219553
"Spawners",2008,1,1,1.42171436396941,0.314980805078866,0.447812734955273
"Spawners",2009,1,1,2.9072083977798,0.289206533250909,0.840783662159827
"Spawners",2010,1,1,1.12219027323978,0.293300430184467,0.329138889890052
"Spawners",2011,1,1,3.79832303170702,0.292813155812609,1.11219895370985
"Spawners",2012,1,1,0.736052334044572,0.304304980884506,0.22398439144143
"Spawners",2013,1,1,0.813588502164489,0.300017287960327,0.244090615935094
"Spawners",2014,1,1,3.50283195233149,0.318903087406258,1.1170639242638
"Spawners",2015,1,1,0.454853109418885,0.323002523465127,0.14691870214826
"Spawners",2016,1,1,0.839171099367227,0.313015045877738,0.262673180167704
"Spawners",2017,1,1,0.949219262635084,0.288788671696028,0.27412377000467
"Juveniles",1997,1,1,3.98121620605701,0.923794045921985,3.67782382668359
"Juveniles",1998,1,1,2.20395909497769,1.02422505380355,2.25735012263435
"Juveniles",1999,1,1,2.06913191471874,1.04661949660375,2.1655938029897
"Juveniles",2000,1,1,6.18418675456993,1.06380028453965,6.5787396291578
"Juveniles",2001,1,1,4.36153299542087,0.956442200242905,4.17155421457236
"Juveniles",2002,1,1,3.08965002716557,0.918683733474501,2.83841122208604
"Juveniles",2003,1,1,6.16461557929873,1.05455446811248,6.50092290334526
"Juveniles",2004,1,1,6.24776019193551,0.924543452355293,5.77632577734003
"Juveniles",2005,1,1,2.99077158311247,0.802758480469156,2.40086725148975
"Juveniles",2006,1,1,5.23302806964025,0.924301708742324,4.83689678666504
"Juveniles",2007,1,1,5.52664976002978,0.869930364042422,4.8078004376777
"Juveniles",2008,1,1,6.70871671750551,1.08054035865744,7.24903916806455
"Juveniles",2009,1,1,7.541690016446,1.02835180545125,7.75551054456596
"Juveniles",2010,1,1,5.71976074973822,1.01389685503119,5.79924743569045
"Juveniles",2011,1,1,4.87040898958881,1.0307101323439,5.01997989422799
"Juveniles",2012,1,1,5.35524314478164,0.965573186926172,5.17087919007133
"Juveniles",2013,1,1,8.13150439062233,1.11042996682472,9.02946615071376
"Juveniles",2014,1,1,5.88416108779731,0.942778272619044,5.54745922616576
"Juveniles",2015,1,1,5.63765586394194,0.99049320572905,5.58405982947303
"Juveniles",2016,1,1,4.62158629748364,0.946697796517484,4.37524556424316
"Juveniles",2017,1,1,5.87022391888071,1.01148704454738,5.93765544254001
