"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1998,1,1,1.34656701065402,0.340619068110029,0.458666400316682
1999,1,1,4.25416475951589,0.309575149189353,1.31698369010322
2000,1,1,8.00381028792567,0.271713929789195,2.17474674661948
2001,1,1,6.66326544049265,0.298054820344904,1.98601838377645
2002,1,1,18.5609810796569,0.321756186092943,5.97211048233367
2003,1,1,25.2087466103743,0.257119964287064,6.48167202818107
2004,1,1,14.9122817606113,0.25237065098205,3.76342225555322
2005,1,1,15.7593577710984,0.404461705189264,6.37405671678613
2006,1,1,8.95758474540166,0.240275353011113,2.15228683682835
2007,1,1,4.71843034439275,0.256176654889125,1.20875170195387
2008,1,1,19.3501452276813,0.273649551817548,5.29515856915946
2009,1,1,42.9838600219527,0.219853243534961,9.45014104547907
2010,1,1,15.9353751570554,0.213187353658128,3.39722045928211
2011,1,1,51.4212992326242,0.226622348261478,11.6532155827534
2012,1,1,9.73285063263535,0.228851462943657,2.22737710589069
2013,1,1,11.1917627176072,0.21037988810376,2.35452178821403
2014,1,1,53.8913991536327,0.263957256964781,14.225025894587
2015,1,1,5.18815442275297,0.258263753902275,1.33991223704487
2016,1,1,12.3052777895344,0.258321598077016,3.17871902337413
2017,1,1,12.9211441189952,0.213490450166426,2.75854087462955
