"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1998,1,1,1.61834201529028,0.382429608354522,0.618901903091129
1999,1,1,4.65376184915757,0.317243517157554,1.47637577704039
2000,1,1,8.13258487961085,0.275476754915158,2.24033809170727
2001,1,1,7.22109636280183,0.30861768608911,2.22855805051439
2002,1,1,18.2223358016736,0.308311989310323,5.61816460089471
2003,1,1,25.4749884338075,0.256971384029766,6.54634303597777
2004,1,1,14.8193609741773,0.247738018818592,3.67131912790023
2005,1,1,17.3619591151292,0.374538428569707,6.50272088387199
2006,1,1,8.81053085720965,0.236749178368527,2.08588594143493
2007,1,1,5.18493838911025,0.268769297621447,1.39355224905164
2008,1,1,20.4383434908134,0.26368124679531,5.38920789408849
2009,1,1,42.463940161412,0.210809354398239,8.95179581063266
2010,1,1,16.2194559498779,0.216142959650161,3.50572121292203
2011,1,1,47.9900340231028,0.209721406813195,10.0645374483383
2012,1,1,10.3451664142007,0.23113536512316,2.39113381640612
2013,1,1,12.6862981773822,0.219825783412592,2.78877543544878
2014,1,1,53.9665912880512,0.250034517839474,13.4935106321478
2015,1,1,5.83275565338052,0.274085206204861,1.59867203599937
2016,1,1,11.501615379349,0.261289535944875,3.00525174508654
2017,1,1,13.92954192598,0.216387067051446,3.01417272273295
