"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1997,1,1,16.9464559847425,0.766555160976699,12.9903932953688
"Spawners",1998,1,1,3.65503271315977,0.48470808750384,1.77162391615964
"Spawners",1999,1,1,8.00114947407074,0.459246607813285,3.67450075457403
"Spawners",2000,1,1,11.8517896143348,0.396152794951439,4.69511958089519
"Spawners",2001,1,1,13.0618014900407,0.442553131054393,5.78054114662842
"Spawners",2002,1,1,16.3828535638804,0.437726466574381,7.17120860292284
"Spawners",2003,1,1,31.3326020420291,0.373897170701029,11.715171254216
"Spawners",2004,1,1,18.408403583361,0.360169680217168,6.63014883192771
"Spawners",2005,1,1,18.96180901526,0.508991642011224,9.65140230618045
"Spawners",2006,1,1,14.9028626014401,0.348285390588581,5.1904493220305
"Spawners",2007,1,1,7.67058444020006,0.354207815741142,2.71698096002126
"Spawners",2008,1,1,26.1007409393583,0.380179680749179,9.92297135764227
"Spawners",2009,1,1,39.6275860424017,0.301657947805579,11.9539762820399
"Spawners",2010,1,1,20.2455324330153,0.30578111280788,6.19070143675542
"Spawners",2011,1,1,52.3799315746562,0.318399435653052,16.677740652916
"Spawners",2012,1,1,14.6741358348931,0.328828036337494,4.82526727153755
"Spawners",2013,1,1,16.484334245447,0.293934480548887,4.84531422362969
"Spawners",2014,1,1,49.2439681418351,0.379773695832595,18.7015637786873
"Spawners",2015,1,1,8.98307726220366,0.378960818422041,3.40423431123312
"Spawners",2016,1,1,14.6094126880971,0.372838244097794,5.44694777393016
"Spawners",2017,1,1,18.7399772401802,0.308161056650804,5.77493118794593
"Juveniles",1997,1,1,268.726348217309,0.366569403674358,98.506857217606
"Juveniles",1998,1,1,267.685437555981,0.374826446698897,100.335581392148
"Juveniles",1999,1,1,267.699121406761,0.375046601144233,100.399645612902
"Juveniles",2000,1,1,268.666930353082,0.367130847319165,98.635917787167
"Juveniles",2001,1,1,268.888342122572,0.36584208485337,98.3706716748875
"Juveniles",2002,1,1,269.469134642263,0.361677667228945,97.4609680076163
"Juveniles",2003,1,1,271.091144367819,0.349328156817983,94.6997697916891
"Juveniles",2004,1,1,272.606432900167,0.3386484936596,92.3177578635586
"Juveniles",2005,1,1,274.181348592005,0.328851903697451,90.1650584428153
"Juveniles",2006,1,1,276.341793483057,0.315485712462207,87.181887600086
"Juveniles",2007,1,1,278.552689873971,0.303532099402231,84.5496827515847
"Juveniles",2008,1,1,280.296233402714,0.295859255466768,82.9282349246658
"Juveniles",2009,1,1,281.705176479999,0.290532309079127,81.8444554022762
"Juveniles",2010,1,1,282.903411184366,0.287445357147069,81.3192720660133
"Juveniles",2011,1,1,283.957338517071,0.285824055396868,81.1618380546507
"Juveniles",2012,1,1,284.890992953716,0.284631674696935,81.0890004304887
"Juveniles",2013,1,1,286.000977704534,0.283318103999635,81.0292547452907
"Juveniles",2014,1,1,285.771165234706,0.286579517932081,81.896162771851
"Juveniles",2015,1,1,285.63174453692,0.289459112549727,82.6787112896873
"Juveniles",2016,1,1,285.573913439292,0.292541467045734,83.5422115875213
"Juveniles",2017,1,1,285.652032754097,0.295123219934407,84.3025476871978
