OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,IDNum,SiteStatus,UTMe,UTMn,POINT_X,POINT_Y,Albers_X,Albers_Y,sampled_X,sampled_Y,Strahler,ChildNode,ParentNode,SegmentID,ChildNodeX,ChildNodeY,Population,Length_m,Length_km,join,NodeID,Node_WGSX,Node_WGSY,OBJECTID_12,FID,IDNum_1,OBJECTID_12_13,SiteStatus_1,UTMe_1,ID,UTMn_1,Year_,CohoPerKilometer
1,1,1,417,2868.000000000000000,Snorkeled,420281.384397000020000,4917260.146940000400000,-124.001215755999970,44.404379468000059,-2192398.953799999800000,2704744.452399999800000,-124.001215755999970,44.404379468000059,0,402,314,402,-2192248.953799999800000,2705944.452399999800000,Alsea,2104.005409570000200,2.104005409570000,Alsea402,402,-124.004142433000000,44.399666408999998,210,416,2868,417,Snorkeled,420281.384399999980000,417,4917260.146999999900000,2004,0
2,1,2,418,2879.000000000000000,Snorkeled,424687.531021000000000,4925134.976719999700000,-123.946823995999980,44.476060348000033,-2185948.953799999800000,2711134.452399999800000,-123.946823995999980,44.476060348000033,0,117,93,117,-2186338.953799999800000,2711104.452399999800000,Alsea,1973.086578650000100,1.973086578650000,Alsea117,117,-123.931093583000010,44.471575115999997,2691,417,2879,418,Snorkeled,424687.531000000020000,418,4925134.977000000000000,2006,1
3,1,3,419,2880.000000000000000,Snorkeled,425613.531575999980000,4926497.499269999600000,-123.935785593999980,44.488288392000072,-2184715.854549999800000,2712184.452399999800000,-123.935785593999980,44.488288392000072,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003,5637,418,2880,419,Snorkeled,425613.531599999990000,419,4926497.498999999800000,1998,416
4,1,3,419,2880.000000000000000,Snorkeled,425613.531575999980000,4926497.499269999600000,-123.935785593999980,44.488288392000072,-2184715.854549999800000,2712184.452399999800000,-123.935785593999980,44.488288392000072,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003,5685,418,2880,419,Snorkeled,425613.531599999990000,419,4926497.498999999800000,2016,432
5,1,3,419,2880.000000000000000,Snorkeled,425613.531575999980000,4926497.499269999600000,-123.935785593999980,44.488288392000072,-2184715.854549999800000,2712184.452399999800000,-123.935785593999980,44.488288392000072,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003,5771,418,2880,419,Snorkeled,425613.531599999990000,419,4926497.498999999800000,2013,465
6,1,3,419,2880.000000000000000,Snorkeled,425613.531575999980000,4926497.499269999600000,-123.935785593999980,44.488288392000072,-2184715.854549999800000,2712184.452399999800000,-123.935785593999980,44.488288392000072,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003,5822,418,2880,419,Snorkeled,425613.531599999990000,419,4926497.498999999800000,2010,485
7,1,3,419,2880.000000000000000,Snorkeled,425613.531575999980000,4926497.499269999600000,-123.935785593999980,44.488288392000072,-2184715.854549999800000,2712184.452399999800000,-123.935785593999980,44.488288392000072,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003,5975,418,2880,419,Snorkeled,425613.531599999990000,419,4926497.498999999800000,2007,559
8,1,3,419,2880.000000000000000,Snorkeled,425613.531575999980000,4926497.499269999600000,-123.935785593999980,44.488288392000072,-2184715.854549999800000,2712184.452399999800000,-123.935785593999980,44.488288392000072,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003,6372,418,2880,419,Snorkeled,425613.531599999990000,419,4926497.498999999800000,2004,860
9,1,3,419,2880.000000000000000,Snorkeled,425613.531575999980000,4926497.499269999600000,-123.935785593999980,44.488288392000072,-2184715.854549999800000,2712184.452399999800000,-123.935785593999980,44.488288392000072,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003,6703,418,2880,419,Snorkeled,425613.531599999990000,419,4926497.498999999800000,2001,1360
10,1,4,420,2884.000000000000000,Snorkeled,431377.306761000010000,4923103.654299999600000,-123.862114738999990,44.458423538000034,-2180082.258210000100000,2707307.756810000200000,-123.862114738999990,44.458423538000034,0,242,180,242,-2180788.953799999800000,2708854.452399999800000,Alsea,1997.939392390000000,1.997939392390000,Alsea242,242,-123.860854556000010,44.457726024999999,211,419,2884,420,Snorkeled,431377.306800000020000,420,4923103.654000000100000,1999,0
11,1,5,421,2890.000000000000000,Snorkeled,432309.638372000020000,4931733.716470000300000,-123.852421449999950,44.535686377000047,-2176858.953799999800000,2715325.758899999800000,-123.852421449999950,44.535686377000047,0,18,25,18,-2176918.953799999800000,2715064.452399999800000,Alsea,529.705627485000040,0.529705627485000,Alsea18,18,-123.852493843999990,44.537721513000001,5854,420,2890,421,Snorkeled,432309.638400000000000,421,4931733.716000000000000,2001,501
12,1,6,422,2891.000000000000000,Snorkeled,431705.360899000020000,4930672.841919999600000,-123.859534029999960,44.526363223000033,-2177698.953799999800000,2714494.452399999800000,-123.859534029999960,44.526363223000033,0,25,24,25,-2177998.953799999800000,2714344.452399999800000,Alsea,1378.233764910000000,1.378233764910000,Alsea25,25,-123.852193795000010,44.533285022999998,5342,421,2891,422,Snorkeled,431705.360900000030000,422,4930672.842000000200000,2018,315
13,1,6,422,2891.000000000000000,Snorkeled,431705.360899000020000,4930672.841919999600000,-123.859534029999960,44.526363223000033,-2177698.953799999800000,2714494.452399999800000,-123.859534029999960,44.526363223000033,0,25,24,25,-2177998.953799999800000,2714344.452399999800000,Alsea,1378.233764910000000,1.378233764910000,Alsea25,25,-123.852193795000010,44.533285022999998,5776,421,2891,422,Snorkeled,431705.360900000030000,422,4930672.842000000200000,2009,466
14,1,7,423,2892.000000000000000,Snorkeled,431939.837775999970000,4932891.542770000200000,-123.857028386999960,44.546209091000037,-2176869.951719999800000,2716553.454479999800000,-123.857028386999960,44.546209091000037,0,10,14,10,-2176858.953799999800000,2715814.452399999800000,Alsea,1637.314933990000100,1.637314933990000,Alsea10,10,-123.857437669000010,44.551710071999999,6549,422,2892,423,Snorkeled,431939.837799999980000,423,4932891.542999999600000,2006,1056
15,1,8,424,2893.000000000000000,Snorkeled,432023.341368000020000,4932325.891859999900000,-123.855506604999960,44.541098175000059,-2176918.953799999800000,2715973.561030000000000,-123.855506604999960,44.541098175000059,0,10,14,10,-2176858.953799999800000,2715814.452399999800000,Alsea,1637.314933990000100,1.637314933990000,Alsea10,10,-123.857437669000010,44.551710071999999,5440,423,2893,424,Snorkeled,432023.341399999980000,424,4932325.892000000000000,2013,344
16,1,9,425,2898.000000000000000,Snorkeled,428210.465771000020000,4931393.298659999900000,-123.903470100999980,44.532106783000074,-2180848.953799999800000,2716114.452399999800000,-123.903470100999980,44.532106783000074,0,6,7,6,-2180278.953799999800000,2716414.452399999800000,Alsea,1475.954544300000000,1.475954544300000,Alsea6,6,-123.909117804000000,44.536096278000002,3312,424,2898,425,Snorkeled,428210.465800000010000,425,4931393.298999999600000,2005,15
17,1,10,426,2902.000000000000000,Snorkeled,434000.619637999970000,4930200.299920000100000,-123.830753430999950,44.521855023000057,-2175658.953799999800000,2713354.452399999800000,-123.830753430999950,44.521855023000057,0,57,35,57,-2175748.953799999800000,2713444.452399999800000,Alsea,2015.512985520000000,2.015512985520000,Alsea57,57,-123.818676569999990,44.515727361000003,6520,425,2902,426,Snorkeled,434000.619599999980000,426,4930200.299999999800000,2005,1012
18,1,11,427,2908.000000000000000,Snorkeled,437631.495974000020000,4930124.150329999600000,-123.784808322999990,44.521583245000045,-2172178.953799999800000,2712274.452399999800000,-123.784808322999990,44.521583245000045,0,66,38,66,-2172478.953799999800000,2712874.452399999800000,Alsea,1730.954544300000000,1.730954544300000,Alsea66,66,-123.780025330000000,44.521483087999997,4846,426,2908,427,Snorkeled,437631.495999999980000,427,4930124.150000000400000,2015,196
19,1,12,428,2912.000000000000000,Snorkeled,435829.758110000000000,4928246.871530000100000,-123.807535297999950,44.504335958000070,-2174458.953799999800000,2710954.452399999800000,-123.807535297999950,44.504335958000070,0,109,85,109,-2175478.953799999800000,2711434.452399999800000,Alsea,1805.512985520000000,1.805512985520000,Alsea109,109,-123.802387029000000,44.501502770000002,5043,427,2912,428,Snorkeled,435829.758099999980000,428,4928246.872000000400000,1999,246
20,1,13,429,2949.000000000000000,Snorkeled,430260.750000000000000,4917005.500000000000000,-123.877384678999990,44.404726319000076,-2182972.584729999800000,2701930.821469999800000,-123.877384678999990,44.404726319000076,0,611,610,611,-2183128.953799999800000,2701834.452399999800000,Alsea,791.543289326000040,0.791543289326000,Alsea611,611,-123.873216539000000,44.408657902999998,212,428,2949,429,Snorkeled,430260.750000000000000,429,4917005.500000000000000,1999,0
21,1,13,429,2949.000000000000000,Snorkeled,430260.750000000000000,4917005.500000000000000,-123.877384678999990,44.404726319000076,-2182972.584729999800000,2701930.821469999800000,-123.877384678999990,44.404726319000076,0,611,610,611,-2183128.953799999800000,2701834.452399999800000,Alsea,791.543289326000040,0.791543289326000,Alsea611,611,-123.873216539000000,44.408657902999998,2879,428,2949,429,Snorkeled,430260.750000000000000,429,4917005.500000000000000,2002,3
22,1,14,430,2950.000000000000000,Snorkeled,433708.463446000010000,4916665.541240000200000,-123.831934430999980,44.400697587000025,-2179645.570530000100000,2700457.835669999900000,-123.831934430999980,44.400697587000025,0,703,718,703,-2179738.953799999800000,2700364.452399999800000,Alsea,904.264068712000040,0.904264068712000,Alsea703,703,-123.824880797000010,44.404431760999998,3783,429,2950,430,Snorkeled,433708.463400000010000,430,4916665.541000000200000,2009,45
