OBJECTID_1,Join_Count,TARGET_FID,MA,IDNum,UTM_E,UTM_N,Stream_Ord,Reach,POINT_X,POINT_Y,Albers_X,Albers_Y,OBJECTID,Status2,PopGrp,sampled_X,sampled_Y,OBJECTID_12,ID,FID,MA_1,IDNum_1,Stream_Ord_1,UTM_E_1,UTM_N_1,Reach_1,Field8,SpawningYear,AUC_mi,Strahler,ChildNode,ParentNode,SegmentID,ChildNodeX,ChildNodeY,Population,Length_m,Length_km,join,NodeID,Node_WGSX,Node_WGSY
1,1,1,2-MC,2880.000000000000000,425613.531575999980000,4926497.499269999600000,3.000000000000000,Trout Cr,-123.935785594999970,44.488288392000072,-2184715.854619999900000,2712184.452399999800000,,,,-123.935785594999970,44.488288392000072,1959,1239,1238,2-MC,2880,3,425613.531599999990000,4926497.498999999800000,Trout Cr,,2009,15.384615950000001,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003
2,1,2,2-MC,2880.000000000000000,425613.531575999980000,4926497.499269999600000,3.000000000000000,Trout Cr,-123.935785594999970,44.488288392000072,-2184715.854619999900000,2712184.452399999800000,,,,-123.935785594999970,44.488288392000072,1960,1239,1238,2-MC,2880,3,425613.531599999990000,4926497.498999999800000,Trout Cr,,2012,9.615384968000001,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003
3,1,3,2-MC,2880.000000000000000,425613.531575999980000,4926497.499269999600000,3.000000000000000,Trout Cr,-123.935785594999970,44.488288392000072,-2184715.854619999900000,2712184.452399999800000,,,,-123.935785594999970,44.488288392000072,1961,1239,1238,2-MC,2880,3,425613.531599999990000,4926497.498999999800000,Trout Cr,,2015,5.769230981000000,0,63,71,63,-2184778.953799999800000,2712154.452399999800000,Alsea,102.426406871000000,0.102426406871000,Alsea63,63,-123.935461093000000,44.488358355000003
4,1,4,2-MC,2886.000000000000000,431563.305026000020000,4928960.708630000200000,3.000000000000000,Meadow Cr,-123.861741430999980,44.510135729000069,-2178388.953799999800000,2712814.452399999800000,,,,-123.861741430999980,44.510135729000069,1962,1240,1239,2-MC,2886,3,431563.304999999990000,4928960.708999999800000,Meadow Cr,,2003,32.499999520000003,0,45,55,45,-2178238.953799999800000,2712514.452399999800000,Alsea,699.411254969999960,0.699411254970000,Alsea45,45,-123.863920846000000,44.512480312000001
5,1,5,2-MC,2886.000000000000000,431563.305026000020000,4928960.708630000200000,3.000000000000000,Meadow Cr,-123.861741430999980,44.510135729000069,-2178388.953799999800000,2712814.452399999800000,,,,-123.861741430999980,44.510135729000069,1963,1240,1239,2-MC,2886,3,431563.304999999990000,4928960.708999999800000,Meadow Cr,,2012,2.499999963000000,0,45,55,45,-2178238.953799999800000,2712514.452399999800000,Alsea,699.411254969999960,0.699411254970000,Alsea45,45,-123.863920846000000,44.512480312000001
6,1,6,2-MC,2889.000000000000000,431184.138387000010000,4930436.385019999900000,2.000000000000000,Flynn Cr,-123.865834424999950,44.524446624000063,-2178238.953799999800000,2714434.452399999800000,,,,-123.865834424999950,44.524446624000063,1964,1241,1240,2-MC,2889,2,431184.138400000000000,4930436.384999999800000,Flynn Cr,,1999,1.526717624000000,0,24,27,24,-2178328.953799999800000,2714404.452399999800000,Alsea,422.132034356000020,0.422132034356000,Alsea24,24,-123.862609103000000,44.524295868000003
7,1,7,2-MC,2889.000000000000000,431184.138387000010000,4930436.385019999900000,2.000000000000000,Flynn Cr,-123.865834424999950,44.524446624000063,-2178238.953799999800000,2714434.452399999800000,,,,-123.865834424999950,44.524446624000063,1965,1241,1240,2-MC,2889,2,431184.138400000000000,4930436.384999999800000,Flynn Cr,,2002,9.160305744000000,0,24,27,24,-2178328.953799999800000,2714404.452399999800000,Alsea,422.132034356000020,0.422132034356000,Alsea24,24,-123.862609103000000,44.524295868000003
8,1,8,2-MC,2889.000000000000000,431184.138387000010000,4930436.385019999900000,2.000000000000000,Flynn Cr,-123.865834424999950,44.524446624000063,-2178238.953799999800000,2714434.452399999800000,,,,-123.865834424999950,44.524446624000063,1966,1241,1240,2-MC,2889,2,431184.138400000000000,4930436.384999999800000,Flynn Cr,,2008,2.290076436000000,0,24,27,24,-2178328.953799999800000,2714404.452399999800000,Alsea,422.132034356000020,0.422132034356000,Alsea24,24,-123.862609103000000,44.524295868000003
9,1,9,2-MC,2890.000000000000000,432309.638372000020000,4931733.716470000300000,2.000000000000000,Flynn Cr,-123.852421449999950,44.535686377000047,-2176858.953799999800000,2715325.758839999800000,,,,-123.852421449999950,44.535686377000047,1967,1242,1241,2-MC,2890,2,432309.638400000000000,4931733.716000000000000,Flynn Cr,,2000,3.053435248000000,0,18,25,18,-2176918.953799999800000,2715064.452399999800000,Alsea,529.705627485000040,0.529705627485000,Alsea18,18,-123.852493843999990,44.537721513000001
10,1,10,2-MC,2891.000000000000000,431705.360899000020000,4930672.841919999600000,2.000000000000000,Flynn Cr,-123.859534029999960,44.526363223000033,-2177698.953799999800000,2714494.452399999800000,,,,-123.859534029999960,44.526363223000033,1968,1243,1242,2-MC,2891,2,431705.360900000030000,4930672.842000000200000,Flynn Cr,,1999,1.526717624000000,0,25,24,25,-2177998.953799999800000,2714344.452399999800000,Alsea,1378.233764910000000,1.378233764910000,Alsea25,25,-123.852193795000010,44.533285022999998
11,1,11,2-MC,2891.000000000000000,431705.360899000020000,4930672.841919999600000,2.000000000000000,Flynn Cr,-123.859534029999960,44.526363223000033,-2177698.953799999800000,2714494.452399999800000,,,,-123.859534029999960,44.526363223000033,1969,1243,1242,2-MC,2891,2,431705.360900000030000,4930672.842000000200000,Flynn Cr,,2008,2.290076436000000,0,25,24,25,-2177998.953799999800000,2714344.452399999800000,Alsea,1378.233764910000000,1.378233764910000,Alsea25,25,-123.852193795000010,44.533285022999998
12,1,12,2-MC,2892.000000000000000,431939.837775999970000,4932891.542770000200000,1.000000000000000,Flynn Cr,-123.857028386999960,44.546209091000037,-2176869.951729999900000,2716553.454470000200000,,,,-123.857028386999960,44.546209091000037,1970,1244,1243,2-MC,2892,1,431939.837799999980000,4932891.542999999600000,Flynn Cr,,2005,67.647058110000003,0,10,14,10,-2176858.953799999800000,2715814.452399999800000,Alsea,1637.314933990000100,1.637314933990000,Alsea10,10,-123.857437669000010,44.551710071999999
13,1,13,2-MC,2893.000000000000000,432023.341368000020000,4932325.891859999900000,1.000000000000000,Flynn Cr,-123.855506604999960,44.541098175000059,-2176918.953799999800000,2715973.561040000100000,,,,-123.855506604999960,44.541098175000059,1971,1245,1244,2-MC,2893,1,432023.341399999980000,4932325.892000000000000,Flynn Cr,,2003,101.538465300000000,0,10,14,10,-2176858.953799999800000,2715814.452399999800000,Alsea,1637.314933990000100,1.637314933990000,Alsea10,10,-123.857437669000010,44.551710071999999
